gk_name,team,match_id,minute,period,action_type,action_category,action_outcome,action_x,action_y,body_part,technique
Unai Simón Mendibil,Spain,3942226,92,2,Keeper Sweeper,Sweeper,Claim,13.1,54.7,,
Unai Simón Mendibil,Spain,3942226,93,2,Shot Faced,Save,,1.3,37.9,,
Manuel Neuer,Germany,3942226,90,3,Shot Faced,Save,,1.3,40.6,,
Unai Simón Mendibil,Spain,3942226,92,3,Collected,Other,Success,7.1,37.1,,
Manuel Neuer,Germany,3942226,94,3,Shot Faced,Save,,1.1,39.4,,
Manuel Neuer,Germany,3942226,96,3,Shot Faced,Save,,1.3,42.2,,
Unai Simón Mendibil,Spain,3942226,100,3,Punch,Punch,In Play Safe,3.7,45.7,,
Unai Simón Mendibil,Spain,3942226,100,3,Shot Faced,Save,,1.8,37.3,,
Manuel Neuer,Germany,3942226,103,3,Shot Faced,Save,,2.0,38.6,,
Unai Simón Mendibil,Spain,3942226,105,3,Shot Faced,Save,,2.3,42.1,,
Unai Simón Mendibil,Spain,3942226,105,4,Shot Faced,Save,,1.1,39.4,,
Unai Simón Mendibil,Spain,3942226,108,4,Shot Faced,Save,,1.8,41.4,,
Manuel Neuer,Germany,3942226,111,4,Shot Faced,Save,,1.5,41.2,,
Unai Simón Mendibil,Spain,3942226,116,4,Shot Saved,Save,Saved Twice,1.7,38.4,Right Hand,Diving
Manuel Neuer,Germany,3942226,117,4,Keeper Sweeper,Sweeper,Claim,14.2,36.0,,
Manuel Neuer,Germany,3942226,118,4,Goal Conceded,Other,No Touch,0.8,40.6,,Standing
Unai Simón Mendibil,Spain,3942226,121,4,Shot Faced,Save,,1.4,39.2,,
Manuel Neuer,Germany,3942226,121,4,Shot Faced,Save,,6.4,31.8,,
Manuel Neuer,Germany,3942226,122,4,Keeper Sweeper,Sweeper,Claim,10.3,48.8,,
Unai Simón Mendibil,Spain,3942226,122,4,Shot Faced,Save,,1.2,38.3,,
Unai Simón Mendibil,Spain,3942226,126,4,Collected,Other,Success,6.1,39.5,,
Anatolii Trubin,Ukraine,3938645,6,1,Shot Saved,Save,Saved Twice,5.6,45.7,Right Foot,Standing
Koen Casteels,Belgium,3938645,19,1,Shot Saved,Save,Saved Twice,1.6,39.4,Both Hands,Standing
Koen Casteels,Belgium,3938645,20,1,Shot Faced,Save,,2.4,40.9,,
Anatolii Trubin,Ukraine,3938645,22,1,Shot Faced,Save,,2.6,42.9,,
Koen Casteels,Belgium,3938645,25,1,Shot Faced,Save,,1.6,38.5,,
Koen Casteels,Belgium,3938645,27,1,Shot Faced,Save,,0.8,39.6,,
Koen Casteels,Belgium,3938645,28,1,Shot Faced,Save,,0.6,41.1,,
Anatolii Trubin,Ukraine,3938645,32,1,Shot Faced,Save,,4.2,39.3,,
Koen Casteels,Belgium,3938645,33,1,Shot Saved,Save,Success,1.8,42.1,Both Hands,Standing
Koen Casteels,Belgium,3938645,43,1,Shot Saved,Save,Success,1.1,40.4,Both Hands,Standing
Anatolii Trubin,Ukraine,3938645,45,1,Shot Saved,Save,Success,1.4,42.6,Both Hands,Standing
Anatolii Trubin,Ukraine,3938645,51,2,Shot Faced,Save,,1.1,40.8,,
Anatolii Trubin,Ukraine,3938645,51,2,Shot Faced,Save,,1.0,38.5,,
Anatolii Trubin,Ukraine,3938645,54,2,Shot Faced,Save,,1.7,39.0,,
Anatolii Trubin,Ukraine,3938645,64,2,Shot Saved,Save,Success,1.7,36.9,Both Hands,Standing
Koen Casteels,Belgium,3938645,70,2,Keeper Sweeper,Sweeper,Claim,15.7,46.3,,
Anatolii Trubin,Ukraine,3938645,72,2,Shot Saved,Save,In Play Safe,1.9,41.1,Both Hands,Standing
Anatolii Trubin,Ukraine,3938645,72,2,Shot Faced,Save,,1.1,40.0,,
Koen Casteels,Belgium,3938645,74,2,Shot Faced,Save,,1.9,45.9,,
Koen Casteels,Belgium,3938645,78,2,Shot Faced,Save,,1.9,36.7,,
Koen Casteels,Belgium,3938645,82,2,Shot Saved,Save,In Play Danger,1.3,40.5,Both Hands,Standing
Koen Casteels,Belgium,3938645,82,2,Shot Faced,Save,,0.8,38.2,,
Koen Casteels,Belgium,3938645,84,2,Shot Faced,Save,,1.4,38.9,,
Anatolii Trubin,Ukraine,3938645,86,2,Shot Faced,Save,,2.3,38.0,,
Koen Casteels,Belgium,3938645,87,2,Shot Faced,Save,,2.7,39.6,,
Koen Casteels,Belgium,3938645,90,2,Shot Saved,Save,Saved Twice,1.5,38.8,Both Hands,Standing
Anatolii Trubin,Ukraine,3938645,92,2,Shot Faced,Save,,1.3,43.6,,
