match_id,shooter,shooting_team,goalkeeper,xg,outcome,shot_x,shot_y,minute,period,is_goal,is_save,is_on_target,distance_to_goal,danger_zone
3938643,Jakub Moder,Poland,Mike Maignan,0.0165,Off T,89.7,27.9,16,1,0,0,0,32.6266762021509,Outside box
3938643,Ousmane Dembélé,France,Łukasz Skorupski,0.2453,Saved,111.9,50.0,18,1,0,1,1,12.868954891520907,Penalty area close
3938643,Robert Lewandowski,Poland,Mike Maignan,0.0824,Off T,109.8,43.8,33,1,0,0,0,10.884851859350224,Penalty area close
3938643,Aurélien Djani Tchouaméni,France,Łukasz Skorupski,0.0135,Blocked,87.3,30.0,35,1,0,0,0,34.194882658082044,Outside box
3938643,Aurélien Djani Tchouaméni,France,Łukasz Skorupski,0.0507,Blocked,99.1,41.7,37,1,0,0,0,20.969024774652734,Penalty area edge
3938643,William Saliba,France,Łukasz Skorupski,0.0463,Off T,107.3,39.0,37,1,0,0,0,12.739309243440166,Penalty area close
3938643,Robert Lewandowski,Poland,Mike Maignan,0.0174,Wayward,87.5,38.4,38,1,0,0,0,32.53936078044558,Outside box
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.119,Saved,115.6,29.2,41,1,0,1,1,11.661903789690603,Penalty area close
3938643,Dayotchanculle Upamecano,France,Łukasz Skorupski,0.092,Off T,112.3,37.3,41,1,0,0,0,8.159656855530143,6-yard box
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.0333,Saved,117.6,29.5,44,1,0,1,1,10.770793842609747,Penalty area close
3938643,N'Golo Kanté,France,Łukasz Skorupski,0.0664,Blocked,100.2,42.3,47,2,0,0,0,19.933138237618277,Penalty area edge
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.0335,Saved,103.5,23.3,48,2,0,1,1,23.476371099469354,Penalty area edge
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.03,Off T,100.0,24.9,48,2,0,0,0,25.060127693210184,Outside box
3938643,Ousmane Dembélé,France,Łukasz Skorupski,0.0069,Blocked,105.4,60.0,50,2,0,0,0,24.762067765031254,Penalty area edge
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.7835,Goal,108.1,40.1,55,2,1,0,1,11.900420160649796,Penalty area close
3938643,Bradley Barcola,France,Łukasz Skorupski,0.0196,Saved,116.6,27.4,58,2,0,1,1,13.050670480860363,Penalty area close
3938643,Antoine Griezmann,France,Łukasz Skorupski,0.0441,Blocked,95.3,45.7,65,2,0,0,0,25.349161721840037,Outside box
3938643,Robert Lewandowski,Poland,Mike Maignan,0.0239,Off T,92.6,31.8,71,2,0,0,0,28.60069929215019,Outside box
3938643,Robert Lewandowski,Poland,Mike Maignan,0.7835,Goal,108.0,40.0,78,2,1,0,1,12.0,Penalty area close
3938643,Robert Lewandowski,Poland,Mike Maignan,0.082,Off T,108.7,26.8,81,2,0,0,0,17.376133056580798,Penalty area close
3938643,Kacper Urbanski,Poland,Mike Maignan,0.0278,Blocked,95.5,32.7,83,2,0,0,0,25.564428411368795,Outside box
3938643,Olivier Giroud,France,Łukasz Skorupski,0.102,Blocked,107.7,41.7,84,2,0,0,0,12.416923934694935,Penalty area close
3938643,Olivier Giroud,France,Łukasz Skorupski,0.0549,Blocked,110.2,38.3,86,2,0,0,0,9.946356116689165,6-yard box
3938643,Youssouf Fofana,France,Łukasz Skorupski,0.023,Blocked,94.4,28.8,86,2,0,0,0,27.942798714516762,Outside box
3938643,Kylian Mbappé Lottin,France,Łukasz Skorupski,0.0444,Saved,100.9,29.8,91,2,0,1,1,21.652944372532797,Penalty area edge
3938641,Stefan Posch,Austria,Wojciech Szczęsny,0.0058,Saved,81.5,42.0,1,1,0,1,1,38.55191305240247,Outside box
3938641,Gernot Trauner,Austria,Wojciech Szczęsny,0.1261,Goal,115.0,33.0,8,1,1,0,1,8.602325267042627,6-yard box
3938641,Marcel Sabitzer,Austria,Wojciech Szczęsny,0.113,Blocked,107.5,45.2,9,1,0,0,0,13.538463723776049,Penalty area close
3938641,Marcel Sabitzer,Austria,Wojciech Szczęsny,0.0666,Saved,105.5,38.4,16,1,0,1,1,14.588008774332431,Penalty area close
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.113,Blocked,104.5,43.5,16,1,0,0,0,15.890248582070704,Penalty area close
3938641,Nicola Zalewski,Poland,Patrick Pentz,0.0991,Off T,106.7,29.1,17,1,0,0,0,17.195929750961415,Penalty area close
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.0345,Blocked,97.3,46.3,23,1,0,0,0,23.558013498595336,Penalty area edge
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.074,Blocked,99.4,38.0,26,1,0,0,0,20.696859665176255,Penalty area edge
3938641,Jan Bednarek,Poland,Patrick Pentz,0.2037,Blocked,108.9,40.0,29,1,0,0,0,11.099999999999994,Penalty area close
3938641,Krzysztof Piątek,Poland,Patrick Pentz,0.4451,Goal,113.8,41.6,29,1,1,0,1,6.403124237432851,6-yard box
3938641,Marcel Sabitzer,Austria,Wojciech Szczęsny,0.1358,Blocked,106.9,32.0,38,1,0,0,0,15.349592828475934,Penalty area close
3938641,Marcel Sabitzer,Austria,Wojciech Szczęsny,0.0205,Off T,90.9,36.1,41,1,0,0,0,29.360177111182413,Outside box
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.0425,Saved,91.6,47.5,45,1,0,1,1,29.373627627516495,Outside box
3938641,Jakub Piotrowski,Poland,Patrick Pentz,0.0478,Blocked,110.1,38.8,46,1,0,0,0,9.972462083156804,6-yard box
3938641,Stefan Posch,Austria,Wojciech Szczęsny,0.0273,Blocked,94.0,47.8,48,2,0,0,0,27.14479692316743,Outside box
3938641,Stefan Posch,Austria,Wojciech Szczęsny,0.0622,Saved,111.5,37.6,50,2,0,1,1,8.832326986700616,6-yard box
3938641,Krzysztof Piątek,Poland,Patrick Pentz,0.0448,Off T,95.3,42.6,51,2,0,0,0,24.836465126905644,Penalty area edge
3938641,Marcel Sabitzer,Austria,Wojciech Szczęsny,0.038,Blocked,103.6,26.7,54,2,0,0,0,21.11516043036378,Penalty area edge
3938641,Adam Buksa,Poland,Patrick Pentz,0.0174,Blocked,103.9,42.4,56,2,0,0,0,16.27789912734441,Penalty area close
3938641,Piotr Zieliński,Poland,Patrick Pentz,0.0401,Blocked,96.8,24.1,59,2,0,0,0,28.125611104472025,Outside box
3938641,Paweł Dawidowicz,Poland,Patrick Pentz,0.0684,Off T,113.0,47.4,60,2,0,0,0,10.186265262597473,Penalty area close
3938641,Christoph Baumgartner,Austria,Wojciech Szczęsny,0.1424,Goal,102.5,36.3,65,2,1,0,1,17.886866690396058,Penalty area close
3938641,Karol Świderski,Poland,Patrick Pentz,0.0729,Saved,99.6,33.0,68,2,0,1,1,21.567568244936663,Penalty area edge
3938641,Patrick Wimmer,Austria,Wojciech Szczęsny,0.0625,Saved,103.1,44.4,74,2,0,1,1,17.463390277950047,Penalty area close
