match_id,player_name,team_name,type_name,gk_name,xg,outcome,shot_x,shot_y
3930178,Luka Modrić,Croatia,Shot,Gianluigi Donnarumma,0.7835,Saved,108.0,40.0
3930178,Ante Budimir,Croatia,Shot,Gianluigi Donnarumma,0.14855804,Saved,111.3,40.9
3930178,Luka Modrić,Croatia,Shot,Gianluigi Donnarumma,0.48530436,Goal,114.9,35.5
3930178,Davide Frattesi,Italy,Shot,Dominik Livaković,0.05347716,Blocked,107.5,29.9
3930178,Alessandro Bastoni,Italy,Shot,Dominik Livaković,0.16923,Off T,114.2,42.9
3930178,Matteo Darmian,Italy,Shot,Dominik Livaković,0.055198677,Blocked,112.1,28.1
3930178,Giacomo Raspadori,Italy,Shot,Dominik Livaković,0.06597319,Blocked,94.2,44.2
3930178,Giovanni Di Lorenzo,Italy,Shot,Dominik Livaković,0.11527714,Blocked,114.6,34.8
3930178,Gianluca Scamacca,Italy,Shot,Dominik Livaković,0.013674787,Blocked,87.8,29.5
3930178,Mattia Zaccagni,Italy,Shot,Dominik Livaković,0.11067648,Goal,103.4,28.0
3930160,Álvaro Borja Morata Martín,Spain,Shot,Dominik Livaković,0.05367552,Saved,98.8,47.5
3930160,Lamine Yamal Nasraoui Ebana,Spain,Shot,Dominik Livaković,0.04807823,Saved Off Target,106.5,49.9
3930160,Ante Budimir,Croatia,Shot,Unai Simón Mendibil,0.048898492,Off T,107.7,39.3
3930160,Álvaro Borja Morata Martín,Spain,Shot,Dominik Livaković,0.4253404,Goal,104.1,39.9
3930160,Mateo Kovačić,Croatia,Shot,Unai Simón Mendibil,0.06378076,Saved,102.8,38.7
3930160,Fabián Ruiz Peña,Spain,Shot,Dominik Livaković,0.056130085,Goal,103.9,38.7
3930160,Marcelo Brozović,Croatia,Shot,Unai Simón Mendibil,0.07775181,Saved,101.8,40.2
3930160,Lovro Majer,Croatia,Shot,Unai Simón Mendibil,0.10645112,Off T,116.5,50.1
3930160,Robin Aime Robert Le Normand,Spain,Shot,Dominik Livaković,0.108392105,Blocked,114.2,35.6
