match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,dist_to_shot,extreme_position,own_keeper_advanced
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Blocked,0,0.02282429,94.8,34.0,119.2,38.6,0.8,-1.4,24.83,False,False
3930162,Morten Hjulmand,Denmark,Jan Oblak,Saved,0,0.046085708,95.3,39.1,118.7,39.1,1.3,-0.9,23.4,False,False
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Goal,1,0.012828235,98.1,22.6,118.4,38.0,1.6,-2.0,25.48,False,False
3930162,Alexander Hartmann Bah,Denmark,Jan Oblak,Blocked,0,0.05694469,100.7,49.3,116.8,41.7,3.2,1.7,17.8,False,False
3930162,Victor Bernth Kristansen,Denmark,Jan Oblak,Blocked,0,0.05016356,101.6,37.8,118.7,40.7,1.3,0.7,17.34,False,False
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Off T,0,0.10017875,105.1,30.6,118.1,37.7,1.9,-2.3,14.81,False,False
3930162,Andreas Christensen,Denmark,Jan Oblak,Off T,0,0.023670547,105.6,39.0,118.3,41.0,1.7,1.0,12.86,False,False
3930162,Andreas Christensen,Denmark,Jan Oblak,Blocked,0,0.028868087,106.4,37.5,117.3,40.2,2.7,0.2,11.23,False,False
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Goal,1,0.2766666,109.7,46.4,118.4,42.4,1.6,2.4,9.58,False,False
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Blocked,0,0.033157267,110.8,54.5,118.9,43.6,1.1,3.6,13.58,False,False
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Off T,0,0.10890295,111.1,39.6,119.3,40.5,0.7,0.5,8.25,False,False
3930162,Pierre-Emile Højbjerg,Denmark,Jan Oblak,Blocked,0,0.06811079,111.1,43.8,119.2,41.3,0.8,1.3,8.48,False,False
3930162,Joachim Andersen,Denmark,Jan Oblak,Wayward,0,0.07210865,111.2,42.9,119.4,41.1,0.6,1.1,8.4,False,False
3930162,Jannik Vestergaard,Denmark,Jan Oblak,Saved,0,0.01490126,112.1,27.8,119.0,36.7,1.0,-3.3,11.26,False,False
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Blocked,0,0.18183897,112.5,40.9,119.2,38.1,0.8,-1.9,7.26,False,False
3930162,Adam Gnezda Čerin,Slovenia,Kasper Schmeichel,Off T,0,0.19572966,113.1,39.6,119.2,39.9,0.8,-0.1,6.11,False,False
3930162,Jannik Vestergaard,Denmark,Jan Oblak,Off T,0,0.10208895,113.5,42.3,119.5,41.4,0.5,1.4,6.07,False,False
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Off T,0,0.33457097,114.0,39.1,119.6,40.1,0.4,0.1,5.69,False,False
3930162,Jonas Older Wind,Denmark,Jan Oblak,Off T,0,0.13023244,114.5,43.6,118.8,41.0,1.2,1.0,5.02,False,False
