match_id,player,team,gk_name,outcome,is_goal,xg,shot_x,shot_y,gk_x,gk_y,dist_off_line,lateral_offset,shot_angle_deg,goal_coverage_pct,open_goal_pct
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Blocked,0,0.05321112,104.8,50.9,119.0,43.1,1.0,3.1,20.01,0.2676,0.7324
3930161,Federico Dimarco,Italy,Thomas Strakosha,Blocked,0,0.015797285,105.2,23.6,118.4,37.6,1.6,-2.4,14.08,0.2803,0.7197
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Off T,0,0.20114782,105.9,42.6,117.6,41.5,2.4,1.5,30.75,0.3013,0.6987
3930161,Jasir Asani,Albania,Gianluigi Donnarumma,Blocked,0,0.014936902,106.8,57.6,118.1,43.2,1.9,3.2,12.72,0.292,0.708
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Off T,0,0.11972189,109.0,36.9,118.5,40.5,1.5,0.5,37.52,0.2895,0.7105
3930161,Federico Chiesa,Italy,Thomas Strakosha,Blocked,0,0.015626727,111.0,57.1,119.6,43.3,0.4,3.3,11.39,0.2616,0.7384
3930161,Nedim Bajrami,Albania,Gianluigi Donnarumma,Goal,1,0.08619496,111.8,51.9,118.4,43.6,1.6,3.6,18.79,0.3106,0.6894
3930161,Lorenzo Pellegrini,Italy,Thomas Strakosha,Wayward,0,0.050647445,112.8,31.8,119.0,38.8,1.0,-1.2,29.2,0.2903,0.7097
3930161,Riccardo Calafiori,Italy,Thomas Strakosha,Blocked,0,0.10085189,112.8,39.8,119.0,39.8,1.0,-0.2,58.08,0.2903,0.7097
3930161,Davide Frattesi,Italy,Thomas Strakosha,Saved to Post,0,0.21950644,113.1,50.5,116.4,46.2,3.6,6.2,21.26,0.5227,0.4773
3930161,Rey Manaj,Albania,Gianluigi Donnarumma,Saved,0,0.104034275,114.6,51.8,116.3,48.8,3.7,8.8,15.83,0.6132,0.3868
3930161,Gianluca Scamacca,Italy,Thomas Strakosha,Saved,0,0.08583342,114.8,50.6,117.4,46.1,2.6,6.1,18.63,0.5,0.5
3930161,Riccardo Calafiori,Italy,Thomas Strakosha,Blocked,0,0.1803363,115.6,39.0,116.8,38.3,3.2,-1.7,82.94,0.5125,0.4875
3930161,Giovanni Di Lorenzo,Italy,Thomas Strakosha,Blocked,0,0.07586851,116.2,31.1,119.5,37.8,0.5,-2.2,21.38,0.2879,0.7121
3930161,Alessandro Bastoni,Italy,Thomas Strakosha,Goal,1,0.1377708,117.6,45.7,119.4,43.0,0.6,3.0,40.79,0.3333,0.6667
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Blocked,0,0.03012717,89.0,35.6,115.6,40.1,4.4,0.1,14.42,0.2914,0.7086
3930162,Benjamin Šeško,Slovenia,Kasper Schmeichel,Off T,0,0.022961853,89.6,43.4,118.9,39.8,1.1,-0.2,14.81,0.2594,0.7406
3930162,Žan Karničnik,Slovenia,Kasper Schmeichel,Off T,0,0.0077642933,90.2,57.0,118.0,43.4,2.0,3.4,11.6,0.268,0.732
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Wayward,0,0.02002185,92.1,32.2,118.7,38.8,1.3,-1.2,15.17,0.2622,0.7378
3930162,Benjamin Šeško,Slovenia,Kasper Schmeichel,Post,0,0.032746676,94.7,44.0,117.3,41.8,2.7,1.8,17.55,0.2799,0.7201
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Blocked,0,0.02282429,94.8,34.0,119.2,38.6,0.8,-1.4,17.11,0.2582,0.7418
3930162,Morten Hjulmand,Denmark,Jan Oblak,Saved,0,0.046085708,95.3,39.1,118.7,39.1,1.3,-0.9,18.37,0.2639,0.7361
3930162,Erik Janža,Slovenia,Kasper Schmeichel,Goal,1,0.012828235,98.1,22.6,118.4,38.0,1.6,-2.0,12.88,0.2697,0.7303
3930162,Alexander Hartmann Bah,Denmark,Jan Oblak,Blocked,0,0.05694469,100.7,49.3,116.8,41.7,3.2,1.7,19.22,0.2997,0.7003
3930162,Victor Bernth Kristansen,Denmark,Jan Oblak,Blocked,0,0.05016356,101.6,37.8,118.7,40.7,1.3,0.7,24.21,0.269,0.731
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Off T,0,0.10017875,105.1,30.6,118.1,37.7,1.9,-2.3,22.04,0.2865,0.7135
3930162,Andreas Christensen,Denmark,Jan Oblak,Off T,0,0.023670547,105.6,39.0,118.3,41.0,1.7,1.0,30.92,0.2835,0.7165
3930162,Andreas Christensen,Denmark,Jan Oblak,Blocked,0,0.028868087,106.4,37.5,117.3,40.2,2.7,0.2,31.84,0.3119,0.6881
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Goal,1,0.2766666,109.7,46.4,118.4,42.4,1.6,2.4,32.16,0.296,0.704
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Blocked,0,0.033157267,110.8,54.5,118.9,43.6,1.1,3.6,14.78,0.284,0.716
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Off T,0,0.10890295,111.1,39.6,119.3,40.5,0.7,0.5,48.33,0.2713,0.7287
3930162,Pierre-Emile Højbjerg,Denmark,Jan Oblak,Blocked,0,0.06811079,111.1,43.8,119.2,41.3,0.8,1.3,42.52,0.2747,0.7253
3930162,Joachim Andersen,Denmark,Jan Oblak,Wayward,0,0.07210865,111.2,42.9,119.4,41.1,0.6,1.1,45.22,0.2683,0.7317
3930162,Jannik Vestergaard,Denmark,Jan Oblak,Saved,0,0.01490126,112.1,27.8,119.0,36.7,1.0,-3.3,17.94,0.2862,0.7138
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Blocked,0,0.18183897,112.5,40.9,119.2,38.1,0.8,-1.9,55.61,0.2799,0.7201
3930162,Adam Gnezda Čerin,Slovenia,Kasper Schmeichel,Off T,0,0.19572966,113.1,39.6,119.2,39.9,0.8,-0.1,60.08,0.2828,0.7172
3930162,Jannik Vestergaard,Denmark,Jan Oblak,Off T,0,0.10208895,113.5,42.3,119.5,41.4,0.5,1.4,58.76,0.2708,0.7292
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Off T,0,0.33457097,114.0,39.1,119.6,40.1,0.4,0.1,66.56,0.2679,0.7321
3930162,Jonas Older Wind,Denmark,Jan Oblak,Off T,0,0.13023244,114.5,43.6,118.8,41.0,1.2,1.0,58.27,0.3198,0.6802
3930162,Christian Dannemann Eriksen,Denmark,Jan Oblak,Off T,0,0.030444594,114.6,27.9,119.1,36.3,0.9,-3.7,15.15,0.3,0.7
3930162,Andraž Šporar,Slovenia,Kasper Schmeichel,Saved,0,0.026201004,114.6,54.5,117.1,48.3,2.9,8.3,10.94,0.54,0.46
3930162,Rasmus Winther Højlund,Denmark,Jan Oblak,Saved,0,0.44749036,116.7,41.6,118.0,40.9,2.0,0.9,95.52,0.6346,0.3654
3930163,Sergej Milinković-Savić,Serbia,Jordan Pickford,Off T,0,0.01536182,89.8,27.7,118.7,39.5,1.3,-0.5,12.99,0.2612,0.7388
3930163,Ivan Ilić,Serbia,Jordan Pickford,Blocked,0,0.02291271,90.5,30.5,117.1,38.6,2.9,-1.4,14.03,0.2773,0.7227
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Saved,0,0.023010701,90.8,50.6,117.9,41.2,2.1,1.2,13.83,0.2694,0.7306
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Blocked,0,0.05354343,92.2,46.3,118.9,39.6,1.1,-0.4,15.6,0.2603,0.7397
3930163,Trent Alexander-Arnold,England,Predrag Rajković,Off T,0,0.025817266,95.8,51.0,117.9,42.2,2.1,2.2,15.66,0.2738,0.7262
3930163,Dušan Vlahović,Serbia,Jordan Pickford,Saved,0,0.045151852,96.9,32.1,117.7,38.7,2.3,-1.3,17.67,0.2776,0.7224
3930163,Veljko Birmančević,Serbia,Jordan Pickford,Blocked,0,0.033204958,98.1,35.4,119.5,39.7,0.5,-0.3,19.87,0.2558,0.7442
3930163,Dušan Vlahović,Serbia,Jordan Pickford,Blocked,0,0.037229445,98.9,46.6,118.0,40.2,2.0,0.2,19.65,0.2762,0.7238
3930163,Aleksandar Mitrović,Serbia,Jordan Pickford,Off T,0,0.09554446,103.0,47.3,117.2,42.2,2.8,2.2,22.63,0.2993,0.7007
3930163,Jude Bellingham,England,Predrag Rajković,Goal,1,0.28910747,113.4,39.5,118.9,42.1,1.1,2.1,62.22,0.3,0.7
3930163,Harry Kane,England,Predrag Rajković,Saved to Post,0,0.16733526,114.8,36.2,119.2,39.0,0.8,-1.0,58.51,0.2955,0.7045
3930164,Denis Vavro,Slovakia,Koen Casteels,Off T,0,0.0061508114,79.8,40.3,118.2,40.1,1.8,0.1,11.36,0.2617,0.7383
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Off T,0,0.028659014,91.7,24.9,107.0,31.1,13.0,-8.9,12.6,0.2772,0.7228
3930164,Juraj Kucka,Slovakia,Koen Casteels,Off T,0,0.047570586,97.5,49.6,117.8,41.6,2.2,1.6,17.17,0.2771,0.7229
3930164,Yannick Ferreira Carrasco,Belgium,Martin Dúbravka,Blocked,0,0.046634816,98.6,35.1,118.2,39.8,1.8,-0.2,20.17,0.273,0.727
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Blocked,0,0.039659355,99.4,31.0,118.6,39.2,1.4,-0.8,18.61,0.2682,0.7318
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Blocked,0,0.03400005,99.7,51.7,117.5,42.2,2.5,2.2,16.95,0.2851,0.7149
3930164,Róbert Boženík,Slovakia,Koen Casteels,Saved,0,0.064620696,99.8,38.5,118.0,39.2,2.0,-0.8,22.29,0.2775,0.7225
3930164,Leandro Trossard,Belgium,Martin Dúbravka,Saved,0,0.09907409,99.9,47.5,116.7,40.7,3.3,0.7,19.9,0.2991,0.7009
3930164,Lukáš Haraslín,Slovakia,Koen Casteels,Off T,0,0.02820586,100.0,24.7,117.7,37.2,2.3,-2.8,14.51,0.2825,0.7175
3930164,Johan Bakayoko,Belgium,Martin Dúbravka,Off T,0,0.030715866,100.3,47.6,118.8,40.3,1.2,0.3,20.13,0.2662,0.7338
3930164,Róbert Boženík,Slovakia,Koen Casteels,Blocked,0,0.04691546,102.7,49.3,117.3,41.7,2.7,1.7,20.52,0.2962,0.7038
3930164,Lukáš Haraslín,Slovakia,Koen Casteels,Saved,0,0.100932,103.8,38.0,118.0,39.1,2.0,-0.9,27.36,0.2852,0.7148
3930164,Juraj Kucka,Slovakia,Koen Casteels,Saved,0,0.16258486,105.4,32.4,117.4,37.7,2.6,-2.3,24.62,0.3042,0.6958
3930164,Jeremy Doku,Belgium,Martin Dúbravka,Blocked,0,0.027797548,106.4,57.6,118.1,42.7,1.9,2.7,12.8,0.2906,0.7094
3930164,Kevin De Bruyne,Belgium,Martin Dúbravka,Wayward,0,0.14977165,107.4,41.5,118.4,41.0,1.6,1.0,34.8,0.2864,0.7136
