50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name
,,,,,,,,,,,,,,,,3.557982,,,,,,,,,,,,,8d7ee88e-bf16-4512-947a-9b8a48949c8d,16,,,"[5.8, 33.8]",3930172,0,,,,0.21724343,,Left Foot,,,"[80.1, 50.2]",,High Pass,,76.08843,,,Incomplete,,Lamine Yamal Nasraoui Ebana,316046.0,,,,,,Goal Kick,1,From Goal Kick,Aymeric Laporte,4353.0,Left Center Back,4,Spain,772,"['a2680387-b778-4a46-897f-b901ef9496bf', 'f5841465-bd9c-4bc2-a2c7-ddfd9c7f77cc']",54,,,,,,,,,,,,,,,,Spain,772,00:00:54.941,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Aymeric Laporte,Spain,Left Center Back
,,,,,,,,,,,,,,,,1.350191,,,,,,,,,,,,,5ef506ae-7335-4ac3-ae29-fe54f5bd49b4,398,,,"[7.0, 39.1]",3930172,10,True,,,1.4150434,,Right Foot,,,"[8.9, 51.2]",,Ground Pass,,12.248265,,,,,Alessandro Bastoni,7480.0,,,,,,Goal Kick,1,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,19,Italy,914,['4115f7f4-c1cd-4ebf-9c3b-549c36ea1844'],4,,,,,,,,,,,,,,,,Italy,914,00:10:04.529,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Gianluigi Donnarumma,Italy,Goalkeeper
,,,,,,,,,,,,,,,,1.600938,,,,,,,,,,,,,6247ce88-671b-4b5e-a7f4-a36f2236ab14,1221,,,"[6.0, 32.2]",3930172,25,True,,,1.5957911,,Right Foot,,,"[5.8, 40.2]",,Ground Pass,,8.0025,,,,,Unai Simón Mendibil,11748.0,,,,,,Goal Kick,1,From Goal Kick,Aymeric Laporte,4353.0,Left Center Back,43,Spain,772,['8c391245-524b-45ad-a78e-0c4e6ef0f8eb'],46,,,,,,,,,,,,,,,,Spain,772,00:25:46.262,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Aymeric Laporte,Spain,Left Center Back
,,,,,,,,,,,,,,,,3.511981,,,,,,,,,,,,,4bee91b5-942d-44ec-bba0-bebf1ba5ab6d,1249,,,"[7.0, 47.6]",3930172,26,,,,0.36078164,,Right Foot,,,"[66.9, 70.2]",,High Pass,,64.02164,,,,,Gianluca Scamacca,10992.0,,,,,,Goal Kick,1,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,44,Italy,914,['ddc4dae8-45e9-4a31-aedb-42977d07564c'],45,,,,,,,,,,,,,,,,Italy,914,00:26:45.134,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Gianluigi Donnarumma,Italy,Goalkeeper
,,,,,,,,,,,,,,,,1.460038,,,,,,,,,,,,,94e07d93-ca12-4fd6-9125-b88fac80110e,1637,,,"[7.0, 48.2]",3930172,36,,,,-1.7318882,,Right Foot,,,"[5.7, 40.2]",,Ground Pass,,8.104937,,,,,Gianluigi Donnarumma,7036.0,,,,,,Goal Kick,1,From Goal Kick,Alessandro Bastoni,7480.0,Right Center Back,62,Italy,914,['aad25b78-7530-42fc-915e-2616a9bfde24'],50,,,,,,,,,,,,,,,,Italy,914,00:36:50.458,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Alessandro Bastoni,Italy,Right Center Back
,,,,,,,,,,,,,,,,2.052131,,,,,,,,,,,,,4cf8a9ee-7736-4123-81ae-6b6ba6ce7e5b,1955,,,"[6.0, 44.6]",3930172,45,,,,0.117315955,,Right Foot,,,"[62.0, 51.2]",,High Pass,,56.38759,,,Incomplete,,Fabián Ruiz Peña,6655.0,,,,,,Goal Kick,1,From Goal Kick,Unai Simón Mendibil,11748.0,Goalkeeper,79,Spain,772,"['81a50eb1-3130-42bf-b5a2-b88ffc5efada', '01b3c436-ef89-486b-b1df-2a134f0ba600']",40,,,,,,,,,,,,,,,,Spain,772,00:45:40.074,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Unai Simón Mendibil,Spain,Goalkeeper
,,,,,,,,,,,,,,,,1.159945,,,,,,,,,,,,,75fa487e-e1a1-46fa-a2ce-69181f1a04fa,2232,,,"[5.7, 45.0]",3930172,51,,,,-1.7707893,,Right Foot,,,"[4.2, 37.6]",,Ground Pass,,7.5504966,,,,,Gianluigi Donnarumma,7036.0,,,,,,Goal Kick,2,From Goal Kick,Alessandro Bastoni,7480.0,Right Center Back,94,Italy,914,['09e481ef-b852-444a-8581-7c4c27e0288e'],52,,,,,,,,,,,,,,,,Italy,914,00:06:52.488,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Alessandro Bastoni,Italy,Right Center Back
,,,,,,,,,,,,,,,,2.095377,,,,,,,,,,,,,a1f5c3c4-7b72-44d4-8568-c6236473fb2a,2589,,,"[5.7, 39.0]",3930172,60,True,,,-1.5192292,,Right Foot,,,"[6.5, 23.5]",,Ground Pass,,15.520632,,,,,Riccardo Calafiori,41768.0,,,,,,Goal Kick,2,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,109,Italy,914,['355f4e1c-08e4-4a22-aec2-7868e201e10a'],3,,,,,,,,,,,,,,,,Italy,914,00:15:03.801,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Gianluigi Donnarumma,Italy,Goalkeeper
,,,,,,,,,,,,,,,,1.070263,,,,,,,,,,,,,2e083e68-4541-4dea-a6d6-85ed6c12c961,3082,,,"[6.0, 46.2]",3930172,71,,,,-1.8468933,,Right Foot,,,"[4.3, 40.2]",,Ground Pass,,6.2361846,,,,,Gianluigi Donnarumma,7036.0,,,,,,Goal Kick,2,From Goal Kick,Alessandro Bastoni,7480.0,Right Center Back,121,Italy,914,['7fd71776-bf0b-4f25-8a9e-d7f77b50d413'],9,,,,,,,,,,,,,,,,Italy,914,00:26:09.658,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Alessandro Bastoni,Italy,Right Center Back
,,,,,,,,,,,,,,,,3.56376,,,,,,,,,,,,,57ea86f9-4d84-4ddf-aa0b-1d24ab35c44a,3152,,,"[6.4, 48.4]",3930172,74,,,,0.09521682,,Right Foot,,,"[77.6, 55.2]",,High Pass,,71.52398,,,Incomplete,,Álvaro Borja Morata Martín,3477.0,,,,,,Goal Kick,2,From Goal Kick,Unai Simón Mendibil,11748.0,Goalkeeper,123,Spain,772,"['c8bd3fd7-656f-4baf-96d0-d44a76903448', '4714d14b-91fc-4a00-be0c-a8803c4c6f44']",5,,,,,,,,,,,,,,,,Spain,772,00:29:05.073,Pass,,,,,,,,,,,,,,,,,,,,,,,,Pass,Unai Simón Mendibil,Spain,Goalkeeper
