50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,ball_recovery_offensive,block_deflection,dribble_no_touch,dribble_overrun,miscontrol_aerial_won,shot_deflected,shot_one_on_one,goalkeeper_shot_saved_to_post,shot_saved_to_post,block_offensive,goalkeeper_shot_saved_off_target,shot_saved_off_target,foul_committed_penalty,foul_won_penalty,pass_deflected,shot_redirect,goalkeeper_punched_out,shot_open_goal,block_save_block,goalkeeper_success_in_play,goalkeeper_penalty_saved_to_post,shot_follows_dribble,type_name,player_name,team_name,position_name,gk_action,gk_outcome
,,,,,,,,,,,,,,,,0.0,,,,,,,,,No Touch,Set,Diving,Penalty Conceded,1cab2c09-3640-4f15-805b-128d678213ad,5193,,,"[1.0, 40.0]",3942349,127,,,,,,,,,,,,,,,,,,,,,,,,,,5,Other,Diogo Meireles Costa,32975.0,Goalkeeper,187,France,771,['751d8406-ba21-462c-8557-efd4bb403b76'],17,,,,,,,,,,,,,,,,Portugal,780,00:07:17.555,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Diogo Meireles Costa,Portugal,Goalkeeper,Penalty Conceded,No Touch
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.4, 41.2]",,Set,,Shot Faced,a695899d-9dfe-428d-97fb-424a57e0282b,544,,,"[2.4, 41.2]",3930180,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrick Pentz,9731.0,Goalkeeper,24,Netherlands,941,['e4c78ac8-30e5-4a64-b685-866ae8c6027e'],18,,,,,,,,,,,,,,,,Austria,915,00:13:18.397,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Patrick Pentz,Austria,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[7.7, 44.4]",,Set,,Shot Faced,058143fe-c51f-4536-9fca-b89ae516416e,993,,,"[7.7, 44.4]",3930180,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Patrick Pentz,9731.0,Goalkeeper,38,Netherlands,941,['fb3821b4-993a-4d5b-ae8c-f44a44e8146a'],55,,,,,,,,,,,,,,,,Austria,915,00:22:55.245,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Patrick Pentz,Austria,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.7, 41.6]",,Set,,Shot Faced,9c8d9653-406e-477e-b6e1-00df138414e7,1191,,,"[1.7, 41.6]",3930180,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bart Verbruggen,37274.0,Goalkeeper,47,Austria,915,['41dd69dd-21e1-49c9-a36e-7c4e3a4bf064'],38,,,,,,,,,,,,,,,,Netherlands,941,00:29:38.416,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,Both Hands,,Success,Set,Standing,Shot Saved,cb2a73a7-604a-4648-98a7-b35ab597752a,1194,,,"[2.1, 42.4]",3930180,29,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,48,Netherlands,941,['b9349d6c-3484-4e0f-8cbd-e55d43677c00'],41,,,,,,,,,,,,,,,,Netherlands,941,00:29:41.267,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Saved,Success
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.7, 39.4]",,Set,,Shot Faced,89244091-3385-4c04-a6b3-dcb90b1a3e16,1307,,,"[2.7, 39.4]",3930180,33,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Patrick Pentz,9731.0,Goalkeeper,58,Netherlands,941,['30c62612-d009-4924-adb2-5abac48e133e'],38,,,,,,,,,,,,,,,,Austria,915,00:33:38.654,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Patrick Pentz,Austria,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,Both Hands,,In Play Safe,Set,Standing,Shot Saved,5bbcfbaf-e771-471e-a67c-99c6b8cc6e9e,1361,,,"[1.4, 41.8]",3930180,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bart Verbruggen,37274.0,Goalkeeper,60,Austria,915,['febab07f-8faf-44e0-8433-3832fc026006'],0,,,,,,,,,,,,,,,,Netherlands,941,00:37:00.148,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Saved,In Play Safe
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.8, 42.7]",,Set,,Shot Faced,082044b2-6bda-465f-8c48-ee38861aab9a,1372,,,"[2.8, 42.7]",3930180,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bart Verbruggen,37274.0,Goalkeeper,60,Austria,915,['ce121d5e-56b2-46a0-b3dc-50e51653c551'],8,,,,,,,,,,,,,,,,Netherlands,941,00:37:08.736,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,Left Hand,,In Play Danger,Set,Standing,Shot Saved,35ad895c-48ff-42a6-b574-0377db153b72,1375,,,"[4.4, 39.4]",3930180,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bart Verbruggen,37274.0,Goalkeeper,60,Austria,915,['27e56282-9a94-49ef-9be9-a8218d807766'],10,,,,,,,,,,,,,,,,Netherlands,941,00:37:10.591,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Saved,In Play Danger
,,,,,,,,,,,,,,,,0.0,,,,,,,,,Success In Play,,,Smother,e045911b-59c7-4bf6-86a0-0e27e8a4a172,1379,,,"[5.0, 32.7]",3930180,37,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Corner,Bart Verbruggen,37274.0,Goalkeeper,60,Austria,915,['d6de5d30-a268-448c-9a89-a718b7e0a88c'],11,,,,,,,,,,,,,,,,Netherlands,941,00:37:11.715,Goal Keeper,,,,,,,,,,,,,,,,,,,,,True,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Smother,Success In Play
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.9, 40.1]",,Set,,Shot Faced,f82b5bd1-3a9d-4a15-962a-b18a96a5d372,1459,,,"[2.9, 40.1]",3930180,39,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Bart Verbruggen,37274.0,Goalkeeper,64,Austria,915,['fef8b369-b825-4161-add5-1886ef148c37'],2,,,,,,,,,,,,,,,,Netherlands,941,00:39:02.583,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[2.0, 37.1]",,Set,,Shot Faced,b45632b4-a0fb-40bf-a669-8ed28026c943,1503,,,"[2.0, 37.1]",3930180,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Patrick Pentz,9731.0,Goalkeeper,67,Netherlands,941,['bb7b8d2f-8677-4567-baf9-f90173a72d16'],36,,,,,,,,,,,,,,,,Austria,915,00:40:36.784,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Patrick Pentz,Austria,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,"[1.9, 39.0]",,Moving,,Shot Faced,03bf7ea5-4027-4ee5-89fa-d822f561a3cf,1521,,,"[1.9, 39.0]",3930180,40,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrick Pentz,9731.0,Goalkeeper,69,Netherlands,941,['9f7cc4b9-ea68-495e-b782-941a6a390848'],55,,,,,,,,,,,,,,,,Austria,915,00:40:55.735,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Patrick Pentz,Austria,Goalkeeper,Shot Faced,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,Claim,,,Keeper Sweeper,b8a6dd6d-4781-44f7-a1d4-08d99cbf8dbf,1577,,,"[10.8, 24.5]",3930180,42,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Bart Verbruggen,37274.0,Goalkeeper,71,Netherlands,941,['79fe2ab6-4939-40b3-9758-91530089fab4'],30,,,,,,,,,,,,,,,,Netherlands,941,00:42:30.000,Goal Keeper,,,,,,,,,,,,,,,,,,,,,,,,Goal Keeper,Bart Verbruggen,Netherlands,Goalkeeper,Keeper Sweeper,Claim
